"","orderID","couponUsed","couponcol","predicted"
"1",5486,0,1,FALSE
"2",5486,0,2,FALSE
"3",5486,0,3,FALSE
"4",5487,1,1,TRUE
"5",5487,1,2,TRUE
"6",5487,0,3,FALSE
"7",5488,1,1,FALSE
"8",5488,1,2,FALSE
"9",5488,1,3,FALSE
"10",5489,1,1,FALSE
"11",5489,0,2,FALSE
"12",5489,0,3,FALSE
"13",5490,0,1,FALSE
"14",5490,0,2,FALSE
"15",5490,1,3,TRUE
"16",5491,0,1,TRUE
"17",5491,1,2,FALSE
"18",5491,0,3,FALSE
"19",5492,1,1,FALSE
"20",5492,0,2,FALSE
"21",5492,0,3,TRUE
"22",5493,0,1,TRUE
"23",5493,0,2,TRUE
"24",5493,1,3,FALSE
"25",5494,1,1,FALSE
"26",5494,1,2,FALSE
"27",5494,0,3,FALSE
"28",5495,0,1,TRUE
"29",5495,0,2,FALSE
"30",5495,0,3,TRUE
"31",5496,1,1,FALSE
"32",5496,1,2,FALSE
"33",5496,1,3,FALSE
"34",5497,0,1,TRUE
"35",5497,0,2,FALSE
"36",5497,0,3,TRUE
"37",5498,0,1,TRUE
"38",5498,0,2,FALSE
"39",5498,0,3,FALSE
"40",5499,1,1,FALSE
"41",5499,1,2,FALSE
"42",5499,0,3,FALSE
"43",5500,0,1,FALSE
"44",5500,0,2,TRUE
"45",5500,1,3,TRUE
"46",5501,0,1,FALSE
"47",5501,0,2,TRUE
"48",5501,0,3,TRUE
"49",5502,0,1,TRUE
"50",5502,0,2,FALSE
"51",5502,0,3,FALSE
"52",5503,1,1,TRUE
"53",5503,0,2,TRUE
"54",5503,1,3,TRUE
"55",5504,0,1,TRUE
"56",5504,0,2,FALSE
"57",5504,0,3,FALSE
"58",5505,0,1,FALSE
"59",5505,0,2,FALSE
"60",5505,0,3,FALSE
"61",5506,1,1,TRUE
"62",5506,1,2,FALSE
"63",5506,0,3,FALSE
"64",5507,1,1,TRUE
"65",5507,0,2,FALSE
"66",5507,0,3,FALSE
"67",5508,0,1,FALSE
"68",5508,0,2,FALSE
"69",5508,0,3,FALSE
"70",5509,1,1,TRUE
"71",5509,0,2,FALSE
"72",5509,1,3,FALSE
"73",5510,0,1,TRUE
"74",5510,0,2,FALSE
"75",5510,1,3,FALSE
"76",5511,1,1,FALSE
"77",5511,0,2,TRUE
"78",5511,0,3,FALSE
"79",5512,0,1,FALSE
"80",5512,0,2,FALSE
"81",5512,0,3,FALSE
"82",5513,0,1,FALSE
"83",5513,1,2,FALSE
"84",5513,0,3,FALSE
"85",5514,1,1,FALSE
"86",5514,1,2,FALSE
"87",5514,0,3,FALSE
"88",5515,0,1,FALSE
"89",5515,0,2,FALSE
"90",5515,0,3,FALSE
"91",5516,0,1,FALSE
"92",5516,0,2,FALSE
"93",5516,0,3,FALSE
"94",5517,0,1,FALSE
"95",5517,0,2,FALSE
"96",5517,0,3,FALSE
"97",5518,1,1,FALSE
"98",5518,0,2,FALSE
"99",5518,1,3,TRUE
"100",5519,0,1,TRUE
"101",5519,0,2,FALSE
"102",5519,0,3,FALSE
"103",5520,0,1,FALSE
"104",5520,0,2,FALSE
"105",5520,0,3,FALSE
"106",5521,0,1,FALSE
"107",5521,1,2,FALSE
"108",5521,0,3,FALSE
"109",5522,1,1,FALSE
"110",5522,0,2,FALSE
"111",5522,1,3,FALSE
"112",5523,0,1,TRUE
"113",5523,0,2,TRUE
"114",5523,0,3,FALSE
"115",5524,0,1,TRUE
"116",5524,0,2,FALSE
"117",5524,0,3,FALSE
"118",5525,0,1,FALSE
"119",5525,0,2,FALSE
"120",5525,0,3,FALSE
"121",5526,0,1,FALSE
"122",5526,0,2,FALSE
"123",5526,0,3,FALSE
"124",5527,1,1,FALSE
"125",5527,0,2,FALSE
"126",5527,1,3,FALSE
"127",5528,0,1,FALSE
"128",5528,0,2,TRUE
"129",5528,0,3,FALSE
"130",5529,0,1,FALSE
"131",5529,0,2,FALSE
"132",5529,0,3,FALSE
"133",5530,0,1,FALSE
"134",5530,0,2,FALSE
"135",5530,0,3,FALSE
"136",5531,0,1,FALSE
"137",5531,0,2,TRUE
"138",5531,0,3,FALSE
"139",5532,0,1,FALSE
"140",5532,0,2,TRUE
"141",5532,0,3,FALSE
"142",5533,1,1,FALSE
"143",5533,0,2,FALSE
"144",5533,0,3,FALSE
"145",5534,1,1,TRUE
"146",5534,0,2,FALSE
"147",5534,0,3,TRUE
"148",5535,0,1,FALSE
"149",5535,0,2,FALSE
"150",5535,0,3,FALSE
"151",5536,0,1,FALSE
"152",5536,0,2,FALSE
"153",5536,0,3,FALSE
"154",5537,1,1,TRUE
"155",5537,0,2,TRUE
"156",5537,0,3,TRUE
"157",5538,1,1,FALSE
"158",5538,1,2,FALSE
"159",5538,0,3,FALSE
"160",5539,0,1,FALSE
"161",5539,0,2,FALSE
"162",5539,0,3,TRUE
"163",5540,1,1,FALSE
"164",5540,1,2,FALSE
"165",5540,0,3,FALSE
"166",5541,0,1,FALSE
