userID,smart_label
f77fdea046ce0a40eb30ac35dde882cd,user1
49fb109b47d0cee1753b63c24574d9d5,user2
b767e0e5cda30fc2e7c39f8049eebb5a,user3
cae358d7b2d59aafe8e41e70b363a198,user4
9ddbc3f477d31b609f962555d72503ad,user5
1c8dc3fa9ef6d8734fa26e5af8be0b0b,user6
8cdec5c60ac4348bfa4241919c942188,user7
8877a81d04e853bc31c50da2bd2afaff,user8
8b27c2bbf8acae8915597f3acd2cb94d,user9
8f49f88a3fd0177ec269627c5aae808d,user10
e23da1d80d8727e711d643019418773d,user11
6029f3b032798bfb61ac456b6a7d1a1d,user12
d95dee066fdc14c82f38075f59323793,user13
b48dc9c8691b60fcc7900d54a4d8131b,user14
f71a30cbce74729bfa7ba501429d7db7,user15
e6ce1600daf0a086d24722bf48031c74,user16
0b98a25876a5f0bd82caca9b8b061142,user17
34741e74ed5d27b053e9d11ce72c7c14,user18
5329a7c19edcf9b0f831f83a3cb42688,user19
7c021697e00f555dec30fc823b2648c8,user20
cff6c0f16ce02150d1e27b71e203b784,user21
c14c9560f7db822ed370fa560289e9d0,user22
10ebbffc58eb5897cd946ec77fa5f244,user23
cd7c4c7ccaf4e39c4fdbd7c30e3a1f77,user24
97ce8efdfc62124891ca53877d430357,user25
ea9c8af52a543f67f299f2a01cc78792,user26
0418ca3af3077cdda86efedb88deb8ae,user27
d28775e4d871d9762ca8a0dbd08300ad,user28
69c0da4579b37dd1edaa8a82d6e2a9c5,user29
f12db959aa8d62a5d61353689a4fc4f7,user30
bd6fd4bc26068cf43b077cb8c7bbce35,user31
cb85f00b817fa10b880f690f7f5e94a6,user32
8800d61c209e77e5b0764c2dcd98daaa,user33
22739945406d62c38a31fadc35cd6f2d,user34
68e4a9cf3ab865f78855829abc361e5a,user35
0a27baab9946e7b9d2a136b339c36e21,user36
d7c9cc29ce9de669970a236b13ed2763,user37
c09b4f65fea7dcb43402bf0f4aa0036e,user38
0ae56e29ced0b447acf85342b0fd75e4,user39
