orderID,tot_visits,tot_visitOrder,time_lastVisit,avgTime_visit,var_visit,medianTime_visit,maxTime_visit,minTime_visit,avgTime_recd_order,avgTime_order,batchTimesReceived,batchCountReceived,couponSwitch
6054,8,8,1679.47777777778,2149.53373015873,252722.686721781,2160.33333333333,2966.74444444444,1663.54166666667,122.341319444444,15,1,1,FALSE
6055,8,8,1831.31111111111,1952.29920634921,1629497.83821171,1707.77777777778,4640.87222222222,456.725,74.6927083333333,14.75,1,1,FALSE
6056,2,2,13643.9972222222,13643.9972222222,,13643.9972222222,13643.9972222222,13643.9972222222,8.71527777777778,12,1,1,FALSE
6057,3,3,4363.93611111111,7207.4,16170573.7748303,7207.4,10050.8638888889,4363.93611111111,154.377777777778,10.6666666666667,1,1,FALSE
6058,10,10,1677.86388888889,1680.28919753086,27.9005255486966,1680.06388888889,1690.8,1673.93333333333,18.7838888888889,13.7,1,1,FALSE
6059,9,9,2374.93611111111,1797.58854166667,189047.791877067,1579.12083333333,2396.50555555556,1396.81388888889,325.50987654321,14.4444444444444,1,1,FALSE
6060,5,5,3360.56666666667,3779.04791666667,8220713.62432806,4199.36944444444,6716.425,1.02777777777778,2.38388888888889,15,1,1,FALSE
6061,1,1,,,,,,,5.475,15,1,1,FALSE
6062,4,4,3363.79722222222,4486.11388888889,944712.225833333,5043.24722222222,5051.29722222222,3363.79722222222,2.42222222222222,14.25,1,1,FALSE
6063,11,11,1268.20555555556,1492.32388888889,58469.4990229767,1451.84444444444,1920.65833333333,1196.23055555556,4.75151515151515,12.8181818181818,1,1,FALSE
6064,11,11,1248.35555555556,1512.35777777778,572545.726733196,1403.6875,3127.05833333333,174.513888888889,290.017676767677,13.5454545454545,1,1,FALSE
6065,1,1,,,,,,,10.4138888888889,15,1,1,FALSE
6066,15,13,1440.86666666667,1112.25972222222,410143.179542676,1183.13472222222,2877.80555555556,2.26666666666667,353.992592592593,15.4,1,2,FALSE
6067,2,2,3195.34444444444,3195.34444444444,,3195.34444444444,3195.34444444444,3195.34444444444,3.27777777777778,12,1,1,FALSE
6068,1,1,,,,,,,7.59722222222222,16,1,1,FALSE
6069,1,1,,,,,,,7.40277777777778,16,1,1,FALSE
6070,4,4,4337.05555555556,4010.11203703704,1520639.08657665,4337.05555555556,5046.83611111111,2646.44444444444,715.628472222222,14,1,1,FALSE
6071,15,15,1701.98333333333,1080.21547619048,338994.311769604,1165.65833333333,1717.56944444444,233.686111111111,190.704814814815,14.6,1,1,FALSE
6072,3,3,3359.81111111111,3450.30138888889,16376.9807445987,3450.30138888889,3540.79166666667,3359.81111111111,356.834259259259,18,1,1,FALSE
6073,2,2,14797.1194444444,14797.1194444444,,14797.1194444444,14797.1194444444,14797.1194444444,154.165277777778,8,1,1,FALSE
6074,1,1,,,,,,,2.79722222222222,16,1,1,FALSE
6075,2,2,8349.31666666667,8349.31666666667,,8349.31666666667,8349.31666666667,8349.31666666667,19.1694444444444,18.5,1,1,FALSE
6076,1,1,,,,,,,2.375,16,1,1,FALSE
6077,3,3,1276.32777777778,4316.14305555556,18480953.8460224,4316.14305555556,7355.95833333333,1276.32777777778,501.718518518519,14,1,1,FALSE
6078,6,6,1766.76388888889,2694.17611111111,1129444.50312731,2830.30555555556,4283.65277777778,1664.93611111111,287.419444444444,12.6666666666667,1,1,FALSE
6079,3,3,5739.93888888889,5856.16388888889,27016.50125,5856.16388888889,5972.38888888889,5739.93888888889,312.405555555556,18.3333333333333,1,1,FALSE
6080,1,1,,,,,,,7.84722222222222,16,1,1,FALSE
6081,1,1,,,,,,,4.33055555555556,17,1,1,FALSE
6082,5,5,2917.625,3493.79375,4123765.25909658,2918.04861111111,6419.57777777778,1719.5,517.797222222222,15,1,1,FALSE
6083,3,3,6998.65833333333,6982.20416666667,541.479201388903,6982.20416666667,6998.65833333333,6965.75,848.851851851852,14,1,1,FALSE
6084,10,9,1283.25555555556,1653.16481481481,84071.2441126543,1627.54166666667,2140.78333333333,1283.25555555556,3.40888888888889,12.1,2,1,FALSE
6085,10,10,1421.69722222222,1677.25308641975,664364.779825317,1670.68888888889,3363.28333333333,237.033333333333,176.464722222222,19.2,1,1,FALSE
6086,1,1,,,,,,,4.10277777777778,17,1,1,FALSE
6087,3,3,4644.80277777778,4724.275,12631.6682098767,4724.275,4803.74722222222,4644.80277777778,371.288888888889,11.6666666666667,1,1,FALSE
