couponID,smart_label
89d62b666d585f03f262b1f6a6abdd2c,cpn1
f2d9a4e781b3f198f244d6c130152bb8,cpn2
bd6402915feb3dd717c579f3f133ba22,cpn3
093c94d44333cd07a4318a0231b967c8,cpn4
4947578494e36ec93b27470bf0d9b868,cpn5
7d105576cee40e8f9ffd798903c9da81,cpn6
a10bb278883972b3e977d30f4c5d526c,cpn7
af9837e0d8f484f3520285f3d5f3deb7,cpn8
4270374b0780f856a6afdf98bf759f1a,cpn9
0a0a18c1985e5a2580968bbc90492574,cpn10
edba887265f47c8dde81e0a24d472519,cpn11
5de73019819ae0aafb3d8224b0686558,cpn12
f6e2fa236e98883e972bf0fc58f292e6,cpn13
179e167fd0dc215ddf6346999a1d8ba6,cpn14
4430e468db7670b2ffbefd6cdb9d89e3,cpn15
a6f321b6e5cdc83deb463f46d1921df2,cpn16
7d6c167459169a4ad31357870b1f70fe,cpn17
476adba5b863c0bde731b9fb9b18e64b,cpn18
ecadb5338a29e7f1bf754bbe9856cbed,cpn19
ae4c5a18b3872ce5456d191fabd0b980,cpn20
0783bb3e057a87800d6bcbefa605f57d,cpn21
a35974920ba3c9b3a6e50a89910e6b81,cpn22
5d64a4abdded231d2b2bc310b13d4ed8,cpn23
1b950b8f844e60606af9a7afaad9e0d6,cpn24
a5c83e7b1e390f85b50eb984e0d58f69,cpn25
8ddd5c5df1a5fa5c281ef21401ca7527,cpn26
9fafb9b08fcc08a406bebd36ae5a9c6d,cpn27
95a665a99bc32df789fe4e32689a1d61,cpn28
daeb0780e821ccd9c55ecb42cf57613c,cpn29
2f3ec6f91181deae49eba36961324981,cpn30
b09389681a88d39c1a13382ec2b09799,cpn31
34ffe0de8d335af223df985a8caf8888,cpn32
5b67699d969df44b7a717440f5454b2e,cpn33
b32509af833c5a4e5dafa3ba97fd9184,cpn34
a61911949929104f166ce2d6f3a27026,cpn35
bcf0fd6a89b05d11ee639eec2d67abd9,cpn36
23b3837f8947b611f3dac4de10b28f0f,cpn37
2d085b6e72016d3897cdd8dd34823469,cpn38
cd241de1403986e31247cf297a4e554e,cpn39
d5fbf4979907f250c4175a19b13a6fb1,cpn40
0ceee246e6a56d77cd032b9b6ef5bfbc,cpn41
16dc69fb08bed5746853f39b58915e91,cpn42
f14ab4037f85dc86e5e0075e787770e0,cpn43
99021045a770925f808ab1cfc8075e1c,cpn44
5dca1264d89ea18053c5f6bd22be48c9,cpn45
e4bbf99ac164c62d45d988992e6318cd,cpn46
c8993e5344e67b6b73c00a80881d5065,cpn47
b716358bd22ebfc6c027f76fa88d780a,cpn48
98b6ec075aa313b692ca7e60794dccae,cpn49
90e663f4e1c9fe15b28385099768f4f9,cpn50
5cc975adb4b3b7f89b8fc3f7ccf551f8,cpn51
7c6bf4b7c5c92f0b43a14ab068e83125,cpn52
747b685b05985bca948ade095c887f1c,cpn53
18b4bb1edecccffa68a123896dd1758d,cpn54
2ff5d178b0e510faa781c724ed7d1465,cpn55
6f6e0af4af004edd2d1953d488b9de70,cpn56
486ca5b05047a88f3953033c305977fe,cpn57
41d7812a7093d77f266cf4c6b21d53d9,cpn58
5f5cc2b12de3f3a8f7c5678427d36da4,cpn59
2c4e76cf41e3bad888f4d47302503dee,cpn60
30566ff7c95f20e9c28023a0fbd4b17c,cpn61
363e2da3fa6995de0c9162621272f38b,cpn62
51bcc62947bf192b9450817d36b613ac,cpn63
4d723f1270e25e086a1d1aa30ff7205a,cpn64
1aab6534425c077890af077455cb238b,cpn65
6ade4d13567f1e0a16a41c4dc37b3533,cpn66
53b95bde375b602fe59ea46ad3a4e1ad,cpn67
95e728f75cf50f851dfe083a809f1f28,cpn68
055b63167f7caab9598d18f2d830ea58,cpn69
4654ded9c1e67f2a4db2b42081bb73ac,cpn70
3dd29fcb0310e60b037e6c3f509ef4b5,cpn71
15863b2704ef25266d1bc7013fb2d54f,cpn72
cd08163cbc30176c58662dd16d4e7d8a,cpn73
f6d305b79e5063f562d330f3707b0e33,cpn74
d087052124333694e59ac2247705055f,cpn75
8cc8bb951804c08867e5f6883b2d5d75,cpn76
c6aecb992913d5a4d3cd623491e6f171,cpn77
5d7cc7eeba8ee3f7e0b7be183dfc4fdf,cpn78
e8438131b44d2500ffc7b48ee3b41106,cpn79
95e5f01150f5cc2d5fb94e13d2ebdcab,cpn80
be1779fe9ba1b6f0a9fbcccc558f72a5,cpn81
1d909d4574d7227cdb39e67b69c32756,cpn82
1901c4d3ceb077fea759736c46e1c415,cpn83
1f3aaf0b1a5fd3b26f5beba311b9927e,cpn84
8d3eb4fc28018a416eb5037a81cd3254,cpn85
ef857420915691cf6e65b3723d970777,cpn86
e60fe3d179dbad4dc5356b66322f6c05,cpn87
404c558e76a50b962f2ce5dcc5c56061,cpn88
749720601ced99a0f783eb7896d57271,cpn89
3e4bfce4c3c7ae98db3d9c859a5dcfe8,cpn90
78fe2a3c12e4832288f23d3766aa3f0b,cpn91
0bfef785d464ff1d2d626442ad2d006c,cpn92
6b3f19ba1270937f98535b0d1ddea555,cpn93
09fe12ca0930a60e9393d35fe708e7f4,cpn94
c78d711ae107aeeb0406305304cca4a9,cpn95
cceab59afe37fa728999fe0632b436d7,cpn96
5b4d8f34c9085c23de580a21f3c3ca88,cpn97
a938c33ef10d75f64076319113c62114,cpn98
8f1b2c1aef80975484a9c79645c10367,cpn99
f3d6e9f89ce53962f7bcdba720541388,cpn100
5aa4e2ef9b4f98a9b31d0250053be884,cpn101
df8527932f9c443b2dd7b1fd5d4528e4,cpn102
d68b5b223929922fb7abc1f5038dacba,cpn103
308c3b7ae69f69c7dfee4695cbb095c9,cpn104
7ce7d210ebe9c6511cad340e340dfa0e,cpn105
bf7bfbc395cb3dedadc2097a47055486,cpn106
ced598d3872a5276154ae91d790eeeab,cpn107
762a0515e5ae2602eb9ab63f351fc145,cpn108
9412dd6c7729b660d147e207f9a3a298,cpn109
99cb952a6efe91bd1c2e1731c91c13b9,cpn110
eef22f0f236049b84c2b52231cfdaf7b,cpn111
55202835d59c240e895067f019205aa4,cpn112
93aca263ee9b967a926e207ec3652c87,cpn113
d3b4d269fa652a5dc50f9501b0079e7e,cpn114
d4ce5f0cf374f57b3d8b49919fe75d7f,cpn115
fd85686feb8beda7cca1c6c7543f0cb5,cpn116
cdace0b1a76c2a117c729e52f110f3a2,cpn117
1f5e0bd8e954e5ce7e789821e8866756,cpn118
ae443966b33a32817cae63708251af33,cpn119
896cd4a014e3fad01bbc1906614fea3d,cpn120
14b0e73cde9ae9ff22e98f7abbda2e82,cpn121
72c7737d9559a31f9e7cbce0fcfd2050,cpn122
886f4f5cc46e9af98d4c2bcc08c0231f,cpn123
1983b325d8e1a15ab31a47640c9e3b4a,cpn124
76639acec805c25aedc8097939a8f7ba,cpn125
ff6b305ca83500b1c74b721604723008,cpn126
c09f0fdcd909b7fad30abcd4b0c21fe8,cpn127
64a3f47f069fd3f1cb5ac46288c649e6,cpn128
87aae948ffab590a2988dcd4364fa324,cpn129
336e456e37fa17357e14598bfe30e1c8,cpn130
7e586cb655c6f278ec566b36f0bf6f42,cpn131
cd65e52f60b1099fbe4e2679ad49d774,cpn132
a0e5c89fa3cf16fb488e43a0b8bfd8e4,cpn133
f0c26d802b6faf0bc34a7d73202b5a66,cpn134
d5ef6f001092fbedfee012de9462955b,cpn135
ca261b0d4e4c62a15e0f29e775bfe0a5,cpn136
39138200af2110f9a5fdf44967ccc2f3,cpn137
496f3da10aed84d9b130f97b29c818d2,cpn138
cb6be963d063a3bea5ee8b050c0e6406,cpn139
556229ca958431dd9e45177b99fce114,cpn140
a09f6f8cceaaade613e8f24c269a83da,cpn141
836ffda6edca4e0cfbc1f180e47bafe1,cpn142
026aba758eece23c33c154e712f3b1e2,cpn143
5a7485878043c9d0a67ea0e9ac516250,cpn144
e89fd989a9653c94ceb65ff23944b35c,cpn145
29e08d47bc20231856e8889d11b3e4c0,cpn146
a3a380498e6ee5759e15cfe85e503f9a,cpn147
6395cc4acb227763cc6d0557d719e80c,cpn148
d98ba5ae5593488759730f206b2e2bf0,cpn149
10ac9d7c4cedcb0d5b10de15e05ed064,cpn150
b7b9cf2285cd92762b428735a0c5ee3b,cpn151
12a904774a3dba8023b687758f51968d,cpn152
021be30dc4d76cd39c5972f6d6c62552,cpn153
a0216f6fd0d11ac4168b5f20df830853,cpn154
ac441fcd41ddb27d40f78a481129b550,cpn155
33938a9ff8009822e901fd00bd981571,cpn156
2c9d9667cc58220a1be35fc8245e1dfc,cpn157
8554b2c4464cd447889849cff75b936d,cpn158
a48a5da0a8b7a987217a2f21f73bbcaf,cpn159
47fe91be3834a0de2db8e72f39444f5a,cpn160
9b250cace93aadeddb4b726fda9765e7,cpn161
cf2e0e7f583807fbad707c08f3f70b33,cpn162
d449ff7d7f77c77d715f632d27ab2741,cpn163
96575d87dff5486ddffa3f8e48c14d29,cpn164
9adac6a8fd6e66904bbd0f55fb30a1b1,cpn165
4cdf5b51ec0f362fce51d52b10969dca,cpn166
9cc12335b69b3f233b49f7023c3b191d,cpn167
bf16137f98e32acbcf1b512c760413bd,cpn168
6099ce7fce8eb29085ba7cf9964fc0d9,cpn169
b825ccaec1ade4a6ec1df0c894bab446,cpn170
e3c1ce2719d781a0337007c57cf51594,cpn171
806944dcbaf8ef59ada10765cef54e37,cpn172
2a2507d0c03967ac5b7d7c2f6e22adcb,cpn173
625cb338eb51b777fe6546802fb55c38,cpn174
500101f2dae329a31cb10b6dbc374ff1,cpn175
e8b620f55dc5e68374562230ffa1e61d,cpn176
fc58b7631d1f4e1bc2d8698538fbdb4b,cpn177
3cae42e6318348a1a9bd0e0a369c45ef,cpn178
b247b0f765126efd43bed89b81710dad,cpn179
173cac356b89eee4fcfa9eeb2a8a8f2c,cpn180
efaba07437652a2376f9131455a26ac0,cpn181
58c0782ad215bf8a59b17f1e48f11d59,cpn182
cbf48304e13d0be60262d381001e9425,cpn183
5e35cfad6fb373945cdd97e7f0e836fe,cpn184
6475f19db96f87bff15080bf16cab05f,cpn185
9c594762e7cb84d7acf3ef8ed76afcb6,cpn186
645f964339fe5a08f8ed65329185edf9,cpn187
38b7231af407c3ed9f6af339c8c0d493,cpn188
6786b2813634e60f87dac76d3a95f23c,cpn189
c7e590e41ef3fde4a60aec76a12a990c,cpn190
ac7b8bf3921b71552fcbe15ce2dc92ff,cpn191
c2b8a66b8f9a36e6c783948cd3588e4d,cpn192
60beeeba67a2582fd85dd966ff5a4579,cpn193
45aba05bde1c757098c59410f9418510,cpn194
4fd6f2aff1b673575b5b295ddfcb813d,cpn195
cd07636d9996ec1604a6f6605f47f938,cpn196
69037b11cbbab237813051a77147f2ba,cpn197
7af2662532c24c98654011932a255db4,cpn198
8891fcc14cde311b00f99c86fffbb076,cpn199
d2513c9433317ed9be4acfc7f8cd5420,cpn200
583a703b276817ecaf7a79c32f6484d0,cpn201
aa360f9c67f56f1be853048e43d8c863,cpn202
3c788027ffc11385ebda482981af8637,cpn203
562dbd7be71bc7decb345060ff8b651a,cpn204
035011be68a9824bbe1c969b98b76545,cpn205
6c3a4f67c4115e8c66ddc76c036f4f49,cpn206
568484a645fb3aa3d2d644239b675b14,cpn207
decddcfc71847ca03e2184989b3d57e1,cpn208
6f4e6f514c8d01d1af8dd9b226420b21,cpn209
b0153e6e55531803ebc153e8d9e73e8c,cpn210
02bfea4658d329c61240dbde928082da,cpn211
d465057b735edd78000223fe3d19f628,cpn212
da2a488b3439449aed1abc1853387c31,cpn213
bf48e24c45b4011e5c944a468a0ae222,cpn214
0f7a1e2e3349c5bd67dba4ce288a1103,cpn215
64c077acae28babd14ab6ffd73b9cf89,cpn216
03acd7f072d1270082b850e79509dc3f,cpn217
385c4d13fedf9b21a846331454456736,cpn218
f42a46e66429bfeab20b7d8d2511efc8,cpn219
0dd21df3c1da2c8cfe3bf5ec49cc9828,cpn220
7f2dd48cc28c946a3fab1ddfafd4f2e4,cpn221
f6c5c7894d381b9becae5383a700b0f7,cpn222
62ca6c7182d2fda3bd837bf5e2e7f6e4,cpn223
d56d62186dd837291d4b53fb9c528ffa,cpn224
f065b92ff3acf499e7ed74b54c891110,cpn225
f5fb1853411a0ffbf211d09ac28451e6,cpn226
706f2a7e23bd358eba20df727a4ecd6d,cpn227
78b27d32e5356d113e5db1c22d7babae,cpn228
0c6a70a481746408275811a99e45f70c,cpn229
3064631038c09ee37f8e4ff5cbe2895e,cpn230
5f56e8c4059faa47765a87cba69db192,cpn231
5d96db67d86eb69fc545bad897b420ac,cpn232
0a0bd9c135cdaa527a626162f66e1a1c,cpn233
